DATE;IBOV;DY_IBOV;SELIC
42902;61626,41;0.41;10.15
42905;62014,03;4.06;10.15
42906;60766,16;4.14;10.15
42907;60761,74;4.12;10.15
42908;61272,21;4.06;10.15
42909;61087,14;4.07;10.15
42912;62188,09;4.00;10.15
42913;61675,46;4.07;10.15
42914;62017,97;4.05;10.15
42915;62238,95;0.37;10.15
42916;62899,97;3.62;10.15
42919;63279,58;3.60;10.15
42920;63231,59;3.60;10.15
42921;63154,17;0.36;10.15
42922;62470,33;3.63;10.15
42923;62322,4;3.67;10.15
42926;63025,47;3.65;10.15
42927;63832,15;0.36;10.15
42928;64835,55;3.53;10.15
42929;65178,35;3.52;10.15
42930;65436,18;3.53;10.15
42933;65212,31;3.59;10.15
42934;65337,67;3.58;10.15
42935;65179,92;3.59;10.15
42936;64938,02;3.60;10.15
42937;64684,18;0.36;10.15
42940;65099,55;3.56;10.15
42941;65667,63;3.53;10.15
42942;65010,57;3.57;10.15
42943;65277,38;3.57;9.15
42944;65497,13;3.56;9.15
42947;65920,36;3.54;9.15
42948;66516,23;3.49;9.15
42949;67135,99;3.47;9.15
42950;66777,13;3.48;9.15
42951;66897,98;3.48;9.15
42954;67939,66;0.34;9.15
42955;67898,94;3.41;9.15
42956;67671,06;3.42;9.15
42957;66992,09;3.46;9.15
42958;67358,59;3.42;9.15
42961;68284,66;3.36;9.15
42962;68355,13;3.38;9.15
42963;68594,3;3.37;9.15
42964;67976,8;3.39;9.15
42965;68714,66;3.35;9.15
42968;68634,65;0.34;9.15
42969;70011,25;3.30;9.15
42970;70477,63;3.28;9.15
42971;71132,8;0.32;9.15
42972;71073,65;3.24;9.15
42975;71016,59;3.25;9.15
42976;71329,85;3.24;9.15
42977;70886,26;3.26;9.15
42978;70835,05;3.27;9.15
42979;71923,11;3.22;9.15
42982;72128,83;3.19;9.15
42983;72150,88;3.19;9.15
42984;73412,41;3.13;9.15
42986;73078,85;3.13;8.15
42989;74319,22;3.08;8.15
42990;74538,55;3.08;8.15
42991;74787,57;3.06;8.15
42992;74656,68;3.07;8.15
42993;75756,52;3.03;8.15
42996;75990,41;3.02;8.15
42997;75974,18;3.00;8.15
42998;76004,15;3.00;8.15
42999;75604,34;3.01;8.15
43000;75389,75;3.01;8.15
43003;74443,48;3.05;8.15
43004;74318,72;3.06;8.15
43005;73796,71;3.07;8.15
43006;73567,25;3.08;8.15
43007;74293,51;3.05;8.15
43010;74359,83;3.05;8.15
43011;76762,91;2.95;8.15
43012;76591,44;2.95;8.15
43013;76617,53;2.95;8.15
43014;76054,72;0.30;8.15
43017;75726,8;2.99;8.15
43018;76897,21;2.94;8.15
43019;76659,8;2.92;8.15
43021;76989,79;2.87;8.15
43024;76891,84;2.89;8.15
43025;76201,25;2.93;8.15
43026;76591,09;2.92;8.15
43027;76283,16;2.93;8.15
43028;76390,52;2.93;8.15
43031;75413,13;2.97;8.15
43032;76350,2;2.93;8.15
43033;76671,13;2.95;8.15
43034;75896,35;2.97;7.4
43035;75975,71;2.96;7.4
43038;74800,34;3.01;7.4
43039;74308,49;3.04;7.4
43040;73823,74;3.07;7.4
43042;73915,42;3.09;7.4
43045;74310,79;3.07;7.4
43046;72414,88;3.15;7.4
43047;74363,13;3.07;7.4
43048;72930,69;3.10;7.4
43049;72165,64;3.12;7.4
43052;72475,17;3.09;7.4
43053;70826,59;3.16;7.4
43055;72511,79;3.09;7.4
43056;73437,28;3.04;7.4
43060;74594,62;3.00;7.4
43061;74518,79;3.00;7.4
43062;74486,58;3.00;7.4
43063;74157,38;3.02;7.4
43066;74058,91;3.22;7.4
43067;74139,72;0.32;7.4
43068;72700,45;3.30;7.4
43069;71970,99;3.32;7.4
43070;72264,45;3.26;7.4
43073;73090,17;3.03;7.4
43074;72546,17;3.05;7.4
43075;73268,35;3.02;7.4
43076;72487,45;3.06;6.9
43077;72731,84;3.04;6.9
43080;72800,04;3.03;6.9
43081;73813,53;2.98;6.9
43082;72914,34;0.30;6.9
43083;72428,93;3.04;6.9
43084;72607,7;3.03;6.9
43087;73115,45;3.01;6.9
43088;72680,37;0.30;6.9
43089;73367,03;3.00;6.9
43090;75133,43;2.93;6.9
43091;75186,53;0.29;6.9
43095;75707,73;0.29;6.9
43096;76072,54;0.29;6.9
43097;76402,08;2.89;6.9
43102;77891,04;2.82;6.9
43103;77995,16;2.81;6.9
43104;78647,42;2.80;6.9
43105;79071,47;2.78;6.9
43108;79378,53;2.80;6.9
43109;78863,54;0.28;6.9
43110;78200,57;2.85;6.9
43111;79365,44;2.80;6.9
43112;79349,12;2.80;6.9
43115;79752,38;2.79;6.9
43116;79831,77;2.87;6.9
43117;81189,16;2.78;6.9
43118;80962,65;2.79;6.9
43119;81219,5;0.28;6.9
43122;81675,42;2.76;6.9
43123;80678,34;2.75;6.9
43124;83680;2.66;6.9
43126;85530,84;2.60;6.9
43129;84698,02;2.62;6.9
43130;84482,46;2.63;6.9
43131;84912,7;2.61;6.9
43132;85495,24;2.64;6.9
43133;84041,34;2.69;6.9
43136;81861,09;2.92;6.9
43137;83894,04;2.85;6.9
43138;82766,73;2.89;6.9
43139;81532,53;2.90;6.65
43140;80898,7;2.93;6.65
43145;83542,84;2.83;6.65
